OCC_source,OCC_target,transition_prob_BLS_ASECnorm_corr,transition_prob_BLS_ASECnorm_in_corr,OCC_TITLE_OCC,OCC_TITLE_OCCLY,EMPOCCLY_unadj_BLS,EMPOCC_unadj_BLS,TOT_EMP_OCC,A_MEAN_OCC,TOT_EMP_OCCLY
11-1010,11-1010,0.7739453646386539,0.771100937894195,Chief Executives,Chief Executives,10047521.654876351,10084584.817305785,195530,200140,195530
11-1010,11-1020,0.0008762950197255361,0.0010868388823314632,General and Operations Managers,Chief Executives,10047521.654876351,8101102.5,2289770,123880,195530
11-1010,11-1030,0.19921582469321042,0.771100937894195,Legislators,Chief Executives,10047521.654876351,2595801.942694215,50330,47620,195530
11-1010,11-2020,0.0013396307680730922,0.0016306922237179838,Marketing and Sales Managers,Chief Executives,10047521.654876351,8254144.44,619500,143000,195530
11-1010,11-3010,0.00044972240750212075,0.003453379750936751,Administrative Services Managers,Chief Executives,10047521.654876351,1308456.05,283570,106050,195530
11-1010,11-3020,0.0016151095285951093,0.003007242179619018,Computer and Information Systems Managers,Chief Executives,10047521.654876351,5396255.77,391430,152860,195530
11-1010,11-3030,0.0019466378093517794,0.0019634375594605445,Financial Managers,Chief Executives,10047521.654876351,9961552.1,608120,146830,195530
11-1010,11-3120,0.0007538289343622221,0.003434311523418409,Human Resources Managers,Chief Executives,10047521.654876351,2205423.85,143580,126700,195530
11-1010,11-9010,0.00041156186733842093,0.0005720692137475042,"Farmers, Ranchers, and Other Agricultural Managers",Chief Executives,10047521.654876351,7228455.36,4770,79940,195530
11-1010,11-9020,0.000251845578771331,0.00037221356964940624,Construction Managers,Chief Executives,10047521.654876351,6798311.81,278460,103110,195530
11-1010,11-9030,6.912671923172268e-05,9.05631120398498e-05,Education Administrators,Chief Executives,10047521.654876351,7669261.72,498200,97030,195530
11-1010,11-9110,0.00010463354127639975,0.00020738673169561823,Medical and Health Services Managers,Chief Executives,10047521.654876351,5069310.67,372670,113730,195530
11-1010,11-9130,9.793033723628426e-05,0.0010131931002264464,Postmasters and Mail Superintendents,Chief Executives,10047521.654876351,971144.7737168736,13770,77040,195530
11-1010,11-9140,1.585483090713389e-05,2.8691410763447402e-05,"Property, Real Estate, and Community Association Managers",Chief Executives,10047521.654876351,5552245.52,202550,71730,195530
11-1010,11-9150,0.00092589120787232,0.002850735618299306,Social and Community Service Managers,Chief Executives,10047521.654876351,3263337.33,149870,71670,195530
11-1010,11-9190,0.0032916541239246112,0.0010131931002264462,Miscellaneous Managers,Chief Executives,10047521.654876351,32642312.786283128,462840,115590,195530
11-1010,13-1050,0.0003897505863768001,0.00376214757001235,Cost Estimators,Chief Executives,10047521.654876351,1040902.14,211600,69710,195530
11-1010,13-1110,0.002747531900663584,0.003946021162610536,Management Analysts,Chief Executives,10047521.654876351,6995878.92,684470,94390,195530
11-1010,13-1130,0.0005930538576598032,0.009244199299956657,Fundraisers,Chief Executives,10047521.654876351,644590.33,75700,61610,195530
11-1010,13-1160,0.00045327419388888497,0.0020491774530170676,Market Research Analysts and Marketing Specialists,Chief Executives,10047521.654876351,2222492.87,638200,70960,195530
11-1010,13-2010,0.0007391285873894391,0.0004964769554913883,Accountants and Auditors,Chief Executives,10047521.654876351,14958217.91,1259930,78820,195530
11-1010,13-2052,0.000796800028730586,0.0021183840138830788,Personal Financial Advisors,Chief Executives,10047521.654876351,3779232.42,200260,121770,195530
11-1010,13-2070,0.00016628371949225352,0.0006069536538954656,Credit Counselors and Loan Officers,Chief Executives,10047521.654876351,2752663.67,340690,73490,195530
11-1010,15-1120,0.00015815816465994306,0.00030793181936882263,Computer and Information Analysts,Chief Executives,10047521.654876351,5160550.109999999,696030,94990,195530
11-1010,15-1132,0.0003218680421398695,0.0004183463947191343,"Software Developers, Applications",Chief Executives,10047521.654876351,7733596.5582737345,903160,108080,195530
11-1010,15-1133,0.0001444514521464118,0.0004183463947191344,"Software Developers, Systems Software",Chief Executives,10047521.654876351,3470767.851726264,405330,114000,195530
11-1010,15-1150,0.00019199521769861465,0.00043386630820891904,Computer Support Specialists,Chief Executives,10047521.654876351,4446245.47,812060,57950,195530
11-1010,17-2050,0.0005640825679406157,0.0017766503705212127,Civil Engineers,Chief Executives,10047521.654876351,3190065.93,306030,93720,195530
11-1010,17-2070,2.7479416749824726e-05,0.00010433921490651127,Electrical and Electronics Engineers,Chief Executives,10047521.654876351,2646177.04,320610,104250,195530
11-1010,17-2199,6.457503443210441e-05,0.00017351056932228258,"Engineers, All Other",Chief Executives,10047521.654876351,3739363.31,142030,99410,195530
11-1010,19-2090,1.4434116352428248e-05,7.807805537034619e-05,Miscellaneous Physical Scientists,Chief Executives,10047521.654876351,1857462.97,17380,110090,195530
11-1010,23-1011,0.00026457607648761635,0.00032010417616434384,Lawyers,Chief Executives,10047521.654876351,8304589.742392923,642750,144230,195530
11-1010,23-1020,2.0186403408716774e-05,0.0003201041761643439,"Judges, Magistrates, and Other Judicial Workers",Chief Executives,10047521.654876351,633616.6176070772,49040,109170,195530
11-1010,25-1000,0.0007347106313346073,0.0006155127994074036,Postsecondary Teachers,Chief Executives,10047521.654876351,11993285.9,1517100,85190,195530
11-1010,25-3000,0.0004746891960930188,0.0006609759833122779,Other Teachers and Instructors,Chief Executives,10047521.654876351,7215768.95,1203570,40250,195530
11-1010,25-9010,7.617222559060407e-06,0.001500634258977035,Audio-Visual and Multimedia Collections Specialists,Chief Executives,10047521.654876351,51001.24041173402,9540,52270,195530
11-1010,25-9020,6.403577036023529e-06,0.0015006342589770347,Farm and Home Management Advisors,Chief Executives,10047521.654876351,42875.25661447662,8020,52700,195530
11-1010,25-9030,0.0001308661192274635,0.0015006342589770354,Instructional Coordinators,Chief Executives,10047521.654876351,876216.2791911126,163900,67490,195530
11-1010,25-9040,7.270058926441486e-05,8.936795963697508e-05,Teacher Assistants,Chief Executives,10047521.654876351,8173631.22,1331560,28750,195530
11-1010,25-9090,8.510689230296116e-05,0.0015006342589770352,"Miscellaneous Education, Training, and Library Workers",Chief Executives,10047521.654876351,569834.6137826765,106590,46680,195530
11-1010,27-3043,0.0001079215507812453,0.0005938166137818632,Writers and Authors,Chief Executives,10047521.654876351,1826058.91,45210,73090,195530
11-1010,33-9030,0.00036512118682091425,0.0004903422705923533,Security Guards and Gaming Surveillance Officers,Chief Executives,10047521.654876351,7481637.32,1124610,32090,195530
11-1010,39-1010,3.573256598083066e-05,0.0002956692639838028,First-Line Supervisors of Gaming Workers,Chief Executives,10047521.654876351,1214274.78,30330,50250,195530
11-1010,41-1010,0.0013806167880463659,0.0003871739605484331,First-Line Supervisors of Sales Workers,Chief Executives,10047521.654876351,35828280.02,1429100,51930,195530
11-1010,41-2010,5.411597434672822e-05,2.3827925275725854e-05,Cashiers,Chief Executives,10047521.654876351,22819083.82,3657570,23270,195530
11-1010,41-2030,0.0005237271587455098,0.0002180421211449059,Retail Salespersons,Chief Executives,10047521.654876351,24133685.46,4448120,28310,195530
11-1010,41-4010,0.00044312675858493804,0.0004311527010754933,"Sales Representatives, Wholesale and Manufacturing",Chief Executives,10047521.654876351,10326563.4,1663160,73680,195530
11-1010,43-3010,0.00038567492683385345,0.0029380499813731315,Bill and Account Collectors,Chief Executives,10047521.654876351,1318928.27,251330,38220,195530
11-1010,43-3030,0.0004091203975941513,0.0004220642809572527,"Bookkeeping, Accounting, and Auditing Clerks",Chief Executives,10047521.654876351,9739383.88,1530430,42110,195530
11-1010,43-4050,0.00017803958034129453,0.00010455663923814176,Customer Service Representatives,Chief Executives,10047521.654876351,17108971.29,2871400,36470,195530
11-1010,43-5052,0.00010112960278914645,0.00037270877199636757,Postal Service Mail Carriers,Chief Executives,10047521.654876351,2726262.3,342410,51780,195530
11-1010,43-5060,0.00019167377796343947,0.0009153484137869857,"Production, Planning, and Expediting Clerks",Chief Executives,10047521.654876351,2103949.06,350150,50020,195530
11-1010,43-9060,0.00022231606355785065,0.00024064976722152842,"Office Clerks, General",Chief Executives,10047521.654876351,9282059.52,2972930,35200,195530
11-1010,49-9041,0.00029697228667560454,0.0008896402332996196,Industrial Machinery Mechanics,Chief Executives,10047521.654876351,3353979.923102652,362440,54000,195530
11-1010,49-9045,9.176938557462582e-07,0.0008896402332996198,"Refractory Materials Repairers, Except Brickmasons",Chief Executives,10047521.654876351,10364.356897348343,1120,52510,195530
11-1010,51-1010,0.0001850094243700361,0.0002967474248024719,First-Line Supervisors of Production and Operating Workers,Chief Executives,10047521.654876351,6264203.3,622790,64340,195530
11-1010,51-8010,3.9523591865148825e-05,0.0011729754116767467,"Power Plant Operators, Distributors, and Dispatchers",Chief Executives,10047521.654876351,338552.83,51820,81760,195530
11-1010,53-3020,0.00041356043729491105,0.0008649538273936338,Bus Drivers,Chief Executives,10047521.654876351,4804022.27,678260,36280,195530
11-1010,53-3030,4.585301016197648e-05,1.7501025164618142e-05,Driver/Sales Workers and Truck Drivers,Chief Executives,10047521.654876351,26324692.88,3130500,40920,195530
11-1010,53-3040,0.0001392116233228798,0.0003466496442720254,Taxi Drivers and Chauffeurs,Chief Executives,10047521.654876351,4035001.4,207920,28450,195530
11-1020,11-1010,0.002936671730484072,0.0023654112108485877,Chief Executives,General and Operations Managers,8122865.67,10084584.817305785,195530,200140,2289770
11-1020,11-1020,0.9459844193754838,0.9485257549203951,General and Operations Managers,General and Operations Managers,8122865.67,8101102.5,2289770,123880,2289770
11-1020,11-1030,0.0007559079844282887,0.002365411210848588,Legislators,General and Operations Managers,8122865.67,2595801.942694215,50330,47620,2289770
11-1020,11-2020,0.0025487703282430375,0.0025082331852191333,Marketing and Sales Managers,General and Operations Managers,8122865.67,8254144.44,619500,143000,2289770
11-1020,11-3030,0.002033933979853689,0.0016585138876099436,Financial Managers,General and Operations Managers,8122865.67,9961552.1,608120,146830,2289770
11-1020,11-9010,5.711986617156504e-05,6.418757215649457e-05,"Farmers, Ranchers, and Other Agricultural Managers",General and Operations Managers,8122865.67,7228455.36,4770,79940,2289770
11-1020,11-9020,0.0003498691983170516,0.000418036209492427,Construction Managers,General and Operations Managers,8122865.67,6798311.81,278460,103110,2289770
11-1020,11-9030,0.0011891289838355781,0.0012594608650283489,Education Administrators,General and Operations Managers,8122865.67,7669261.72,498200,97030,2289770
11-1020,11-9130,0.00010140282117898263,0.0008481552053700719,Postmasters and Mail Superintendents,General and Operations Managers,8122865.67,971144.7737168736,13770,77040,2289770
11-1020,11-9140,0.0012841379414316966,0.001878677728214007,"Property, Real Estate, and Community Association Managers",General and Operations Managers,8122865.67,5552245.52,202550,71730,2289770
11-1020,11-9190,0.0034083719502164423,0.0008481552053700716,Miscellaneous Managers,General and Operations Managers,8122865.67,32642312.786283128,462840,115590,2289770
11-1020,13-1110,0.0011974525241656494,0.0013903536798204048,Management Analysts,General and Operations Managers,8122865.67,6995878.92,684470,94390,2289770
11-1020,15-1150,0.00042373537121413463,0.0007741240386352309,Computer Support Specialists,General and Operations Managers,8122865.67,4446245.47,812060,57950,2289770
11-1020,33-9030,0.0003933206739832742,0.0004270309911253489,Security Guards and Gaming Surveillance Officers,General and Operations Managers,8122865.67,7481637.32,1124610,32090,2289770
11-1020,39-1010,0.0002129410444873207,0.0014244646504146285,First-Line Supervisors of Gaming Workers,General and Operations Managers,8122865.67,1214274.78,30330,50250,2289770
11-1020,41-1010,0.00451235684413331,0.0010230261815398192,First-Line Supervisors of Sales Workers,General and Operations Managers,8122865.67,35828280.02,1429100,51930,2289770
11-1020,41-2010,0.0008027178787507883,0.00028574194965203474,Cashiers,General and Operations Managers,8122865.67,22819083.82,3657570,23270,2289770
11-1020,41-2030,0.0014334712616268096,0.00048247477656485543,Retail Salespersons,General and Operations Managers,8122865.67,24133685.46,4448120,28310,2289770
11-1020,41-4010,0.00034588870654068076,0.0002720757517452515,"Sales Representatives, Wholesale and Manufacturing",General and Operations Managers,8122865.67,10326563.4,1663160,73680,2289770
11-1020,43-3010,0.00020742254869764455,0.001277450440879549,Bill and Account Collectors,General and Operations Managers,8122865.67,1318928.27,251330,38220,2289770
11-1020,43-4050,0.001262794796408347,0.000599539991395941,Customer Service Representatives,General and Operations Managers,8122865.67,17108971.29,2871400,36470,2289770
11-1020,51-1010,0.0009729096628037677,0.0012615833365433717,First-Line Supervisors of Production and Operating Workers,General and Operations Managers,8122865.67,6264203.3,622790,64340,2289770
11-1020,53-3020,0.00029451250299944947,0.000497975522498983,Bus Drivers,General and Operations Managers,8122865.67,4804022.27,678260,36280,2289770
11-1020,53-3030,0.0001197715854877605,3.6957259271166845e-05,Driver/Sales Workers and Truck Drivers,General and Operations Managers,8122865.67,26324692.88,3130500,40920,2289770
11-1020,11-3050,0.0010197634475961979,0.003651620182989631,Industrial Production Managers,General and Operations Managers,8122865.67,2268418.15,181310,113370,2289770
11-1020,11-3070,0.000838265616671216,0.003073551288592407,"Transportation, Storage, and Distribution Managers",General and Operations Managers,8122865.67,2215391.37,124810,102850,2289770
11-1020,11-9050,0.0014090044037377268,0.0013176414757257657,Food Service Managers,General and Operations Managers,8122865.67,8686090.8,219160,58960,2289770
11-1020,13-1020,0.001070345842614433,0.0021624901245309597,Buyers and Purchasing Agents,General and Operations Managers,8122865.67,4020492.58,407410,67530,2289770
11-1020,13-1070,0.0007314201343920538,0.0011130190990398259,Human Resources Workers,General and Operations Managers,8122865.67,5337938.5,671140,67240,2289770
11-1020,13-1190,9.344996345359976e-05,0.0003678822434857946,Miscellaneous Business Operations Specialists,General and Operations Managers,8122865.67,2063381.73,1060580,76960,2289770
11-1020,15-1141,0.00034445756136700957,0.0028821908058712553,Database Administrators,General and Operations Managers,8122865.67,970783.23,110090,92030,2289770
11-1020,17-3020,0.00036390396198685384,0.0009250438679063083,"Engineering Technicians, Except Drafters",General and Operations Managers,8122865.67,3195462.51,430400,61380,2289770
11-1020,19-2040,0.0002482636155670909,0.0022320592168892403,Environmental Scientists and Geoscientists,General and Operations Managers,8122865.67,903476.03,116020,85480,2289770
11-1020,19-3090,4.435595941598281e-05,0.000719825894824416,Miscellaneous Social Scientists and Related Workers,General and Operations Managers,8122865.67,500534.23,51640,85320,2289770
11-1020,21-1010,6.729817064671463e-05,8.424397517165061e-05,Counselors,General and Operations Managers,8122865.67,6488938.81,735100,51920,2289770
11-1020,21-2010,0.00012886794421161467,0.0002991139058752837,Clergy,General and Operations Managers,8122865.67,3499593.23,50960,53290,2289770
11-1020,21-2090,6.0262660972947e-05,0.0007013093348309713,Miscellaneous Religious Workers,General and Operations Managers,8122865.67,697988.0,8460,35860,2289770
11-1020,27-2020,0.00018796469891641085,0.0006982738662087877,"Athletes, Coaches, Umpires, and Related Workers",General and Operations Managers,8122865.67,2186551.83,266860,45080,2289770
11-1020,27-3030,9.617295567070482e-05,0.0006312278348591952,Public Relations Specialists,General and Operations Managers,8122865.67,1237588.01,239030,68440,2289770
11-1020,29-9000,0.000132548849598297,0.0012660402254934232,Other Healthcare Practitioners and Technical Occupations,General and Operations Managers,8122865.67,850428.35,168630,66590,2289770
11-1020,33-2010,0.0003396431890027796,0.001200478989583434,Firefighters,General and Operations Managers,8122865.67,2298146.01,321570,53240,2289770
11-1020,35-1011,0.0002900931267031528,0.0006779775309677246,Chefs and Head Cooks,General and Operations Managers,8122865.67,3475612.97,128600,52160,2289770
11-1020,35-1012,0.00040551021447582305,0.000725960436496764,First-Line Supervisors of Food Preparation and Serving Workers,General and Operations Managers,8122865.67,4537306.49,964400,36190,2289770
11-1020,35-2010,0.0009524194803039259,0.0005007630790274944,Cooks,General and Operations Managers,8122865.67,15449173.12,2403510,26560,2289770
11-1020,35-2020,0.00019856089778227243,0.00024987615364169795,Food Preparation Workers,General and Operations Managers,8122865.67,6454731.58,814600,24830,2289770
11-1020,35-3010,0.0008672548933090999,0.002129558598245906,Bartenders,General and Operations Managers,8122865.67,3308857.03,631480,26780,2289770
11-1020,35-3030,0.002135966997962186,0.0012008372195141286,Waiters and Waitresses,General and Operations Managers,8122865.67,14448397.1,2582410,25830,2289770
11-1020,35-9030,0.00031460768943135804,0.0013482990726730866,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",General and Operations Managers,8122865.67,1895362.87,416950,23260,2289770
11-1020,37-2011,0.0010538094716265366,0.00047944948604387725,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",General and Operations Managers,8122865.67,17853711.452331517,2156270,28950,2289770
11-1020,37-2012,0.0009177037147777921,0.0006483802262265428,Maids and Housekeeping Cleaners,General and Operations Managers,8122865.67,11496932.97,924290,25570,2289770
11-1020,37-2019,6.671010257389916e-06,0.0004794494860438772,"Building Cleaning Workers, All Other",General and Operations Managers,8122865.67,113020.70766848496,13650,32710,2289770
11-1020,37-3010,0.0010247304754456195,0.000922405579497523,Grounds Maintenance Workers,General and Operations Managers,8122865.67,9023956.69,994880,31600,2289770
11-1020,41-3010,0.0013179434986273753,0.005900435508757726,Advertising Sales Agents,General and Operations Managers,8122865.67,1814353.87,133110,63360,2289770
11-1020,41-3020,0.00015039427581719445,0.00025096190362013554,Insurance Sales Agents,General and Operations Managers,8122865.67,4867800.58,393830,67890,2289770
11-1020,41-3090,0.000639298273659621,0.0013516562888181527,"Miscellaneous Sales Representatives, Services",General and Operations Managers,8122865.67,3841904.22,1033820,64860,2289770
11-1020,41-9020,0.00012681472793578773,0.0001511756451604865,Real Estate Brokers and Sales Agents,General and Operations Managers,8122865.67,6813921.64,197080,65240,2289770
11-1020,43-1010,0.0005548702493808444,0.0003906644823298119,First-Line Supervisors of Office and Administrative Support Workers,General and Operations Managers,8122865.67,11537103.33,1477560,59340,2289770
11-1020,43-3070,5.89078435418716e-05,0.000165810435984277,Tellers,General and Operations Managers,8122865.67,2885828.61,468470,30140,2289770
11-1020,43-4110,0.0001445838264120894,0.0009352835782660304,"Interviewers, Except Eligibility and Loan",General and Operations Managers,8122865.67,1255699.37,192820,35520,2289770
11-1020,43-4130,0.0003611256321563668,0.002638240615422761,Loan Interviewers and Clerks,General and Operations Managers,8122865.67,1111867.88,222620,41310,2289770
11-1020,43-4160,0.0003262839258549501,0.004513495448639772,"Human Resources Assistants, Except Payroll and Timekeeping",General and Operations Managers,8122865.67,587207.97,124600,41620,2289770
11-1020,43-4170,0.0004981701857935562,0.00039197084723861504,Receptionists and Information Clerks,General and Operations Managers,8122865.67,10323649.14,1043630,30350,2289770
11-1020,43-5020,5.7934664823775185e-05,0.00024713476507864576,Couriers and Messengers,General and Operations Managers,8122865.67,1904205.99,75720,30620,2289770
11-1020,43-6010,0.0003207406235489304,0.00011162267066893915,Secretaries and Administrative Assistants,General and Operations Managers,8122865.67,23340536.33,3498120,42320,2289770
11-1020,43-9190,0.0002634986329892121,0.000477745593567613,Miscellaneous Office and Administrative Support Workers,General and Operations Managers,8122865.67,4480133.42,196570,37480,2289770
11-1020,45-4010,0.0002918353074279019,0.01286774101444225,Forest and Conservation Workers,General and Operations Managers,8122865.67,184223.4,7510,31320,2289770
11-1020,47-2030,5.7587373594964314e-05,4.6731247749974565e-05,Carpenters,General and Operations Managers,8122865.67,10009886.8,718730,51120,2289770
11-1020,47-2060,0.000329174839105766,0.00021919297093315763,Construction Laborers,General and Operations Managers,8122865.67,12199027.18,1001470,40350,2289770
11-1020,47-2073,8.838180134523879e-05,0.00027253955290178536,Operating Engineers and Other Construction Equipment Operators,General and Operations Managers,8122865.67,2634162.61,383480,53030,2289770
11-1020,49-1010,0.0001569794518096469,0.0005611457591427174,"First-Line Supervisors of Mechanics, Installers, and Repairers",General and Operations Managers,8122865.67,2272356.12,471820,69320,2289770
11-1020,49-2098,0.00018730255574939234,0.003066485191605151,Security and Fire Alarm Systems Installers,General and Operations Managers,8122865.67,496148.98,70900,48540,2289770
11-1020,49-3040,9.599740186273448e-05,0.0004642315688563981,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,General and Operations Managers,8122865.67,1679709.12,199280,51780,2289770
11-1020,51-2090,0.0008915232990674337,0.0008965204729218027,Miscellaneous Assemblers and Fabricators,General and Operations Managers,8122865.67,8077589.1,1376130,34300,2289770
11-1020,51-8030,9.492308888569863e-05,0.0011252508107618545,Water and Wastewater Treatment Plant and System Operators,General and Operations Managers,8122865.67,685222.79,123650,49490,2289770
11-1020,51-9060,0.0011549417879269201,0.0015763083036380967,"Inspectors, Testers, Sorters, Samplers, and Weighers",General and Operations Managers,8122865.67,5951524.19,557510,42010,2289770
11-1020,51-9199,0.0006325070127621599,0.0006995798752678634,"Production Workers, All Other",General and Operations Managers,8122865.67,7344078.47,230760,34490,2289770
11-1020,53-7050,0.000682307048418788,0.0011820812776740216,Industrial Truck and Tractor Operators,General and Operations Managers,8122865.67,4688584.96,604130,36480,2289770
11-1020,53-7062,0.0014380165786983894,0.0008081872323365725,"Laborers and Freight, Stock, and Material Movers, Hand",General and Operations Managers,8122865.67,14454385.23,2893180,30890,2289770
11-1020,53-7190,0.000905609583963488,0.018074373203731783,Miscellaneous Material Moving Workers,General and Operations Managers,8122865.67,406993.09,27010,35000,2289770
11-1030,11-1010,0.7739453646386538,0.19848366084086747,Chief Executives,Legislators,2586261.7751236465,10084584.817305785,195530,200140,50330
11-1030,11-1020,0.0008762950197255362,0.000279755541081893,General and Operations Managers,Legislators,2586261.7751236465,8101102.5,2289770,123880,50330
11-1030,11-1030,0.19921582469321042,0.1984836608408675,Legislators,Legislators,2586261.7751236465,2595801.942694215,50330,47620,50330
11-1030,11-2020,0.0013396307680730922,0.00041974499882230904,Marketing and Sales Managers,Legislators,2586261.7751236465,8254144.44,619500,143000,50330
11-1030,11-3010,0.0004497224075021208,0.0008889101563169163,Administrative Services Managers,Legislators,2586261.7751236465,1308456.05,283570,106050,50330
11-1030,11-3020,0.0016151095285951093,0.0007740730266466789,Computer and Information Systems Managers,Legislators,2586261.7751236465,5396255.77,391430,152860,50330
11-1030,11-3030,0.0019466378093517787,0.000505394631860324,Financial Managers,Legislators,2586261.7751236465,9961552.1,608120,146830,50330
11-1030,11-3120,0.0007538289343622221,0.0008840019381867154,Human Resources Managers,Legislators,2586261.7751236465,2205423.85,143580,126700,50330
11-1030,11-9010,0.0004115618673384209,0.00014725230669417416,"Farmers, Ranchers, and Other Agricultural Managers",Legislators,2586261.7751236465,7228455.36,4770,79940,50330
11-1030,11-9020,0.0002518455787713309,9.580887311642512e-05,Construction Managers,Legislators,2586261.7751236465,6798311.81,278460,103110,50330
11-1030,11-9030,6.912671923172268e-05,2.331121274978591e-05,Education Administrators,Legislators,2586261.7751236465,7669261.72,498200,97030,50330
11-1030,11-9110,0.00010463354127639973,5.3381957787758714e-05,Medical and Health Services Managers,Legislators,2586261.7751236465,5069310.67,372670,113730,50330
11-1030,11-9130,9.793033723628425e-05,0.00026079889906611276,Postmasters and Mail Superintendents,Legislators,2586261.7751236465,971144.7737168736,13770,77040,50330
11-1030,11-9140,1.585483090713389e-05,7.385253944276107e-06,"Property, Real Estate, and Community Association Managers",Legislators,2586261.7751236465,5552245.52,202550,71730,50330
11-1030,11-9150,0.0009258912078723201,0.0007337877751189282,Social and Community Service Managers,Legislators,2586261.7751236465,3263337.33,149870,71670,50330
11-1030,11-9190,0.0032916541239246112,0.0002607988990661127,Miscellaneous Managers,Legislators,2586261.7751236465,32642312.786283128,462840,115590,50330
11-1030,13-1050,0.0003897505863768001,0.0009683879056856826,Cost Estimators,Legislators,2586261.7751236465,1040902.14,211600,69710,50330
11-1030,13-1110,0.0027475319006635846,0.0010157175119633215,Management Analysts,Legislators,2586261.7751236465,6995878.92,684470,94390,50330
11-1030,13-1130,0.0005930538576598032,0.002379484226291712,Fundraisers,Legislators,2586261.7751236465,644590.33,75700,61610,50330
11-1030,13-1160,0.0004532741938888848,0.0005274643339147391,Market Research Analysts and Marketing Specialists,Legislators,2586261.7751236465,2222492.87,638200,70960,50330
11-1030,13-2010,0.0007391285873894391,0.000127794635963185,Accountants and Auditors,Legislators,2586261.7751236465,14958217.91,1259930,78820,50330
11-1030,13-2052,0.000796800028730586,0.000545278307260959,Personal Financial Advisors,Legislators,2586261.7751236465,3779232.42,200260,121770,50330
11-1030,13-2070,0.00016628371949225352,0.00015623166470904093,Credit Counselors and Loan Officers,Legislators,2586261.7751236465,2752663.67,340690,73490,50330
11-1030,15-1120,0.00015815816465994306,7.926256057297007e-05,Computer and Information Analysts,Legislators,2586261.7751236465,5160550.109999999,696030,94990,50330
11-1030,15-1132,0.00032186804213986945,0.00010768359866114673,"Software Developers, Applications",Legislators,2586261.7751236465,7733596.5582737345,903160,108080,50330
11-1030,15-1133,0.00014445145214641179,0.00010768359866114676,"Software Developers, Systems Software",Legislators,2586261.7751236465,3470767.851726264,405330,114000,50330
11-1030,15-1150,0.00019199521769861465,0.00011167847027133886,Computer Support Specialists,Legislators,2586261.7751236465,4446245.47,812060,57950,50330
11-1030,17-2050,0.0005640825679406158,0.0004573150572716852,Civil Engineers,Legislators,2586261.7751236465,3190065.93,306030,93720,50330
11-1030,17-2070,2.7479416749824726e-05,2.6857222350763104e-05,Electrical and Electronics Engineers,Legislators,2586261.7751236465,2646177.04,320610,104250,50330
11-1030,17-2199,6.457503443210441e-05,4.466213345261842e-05,"Engineers, All Other",Legislators,2586261.7751236465,3739363.31,142030,99410,50330
11-1030,19-2090,1.443411635242824e-05,2.0097522256377644e-05,Miscellaneous Physical Scientists,Legislators,2586261.7751236465,1857462.97,17380,110090,50330
11-1030,23-1011,0.0002645760764876163,8.239576119445312e-05,Lawyers,Legislators,2586261.7751236465,8304589.742392923,642750,144230,50330
11-1030,23-1020,2.0186403408716767e-05,8.239576119445312e-05,"Judges, Magistrates, and Other Judicial Workers",Legislators,2586261.7751236465,633616.6176070772,49040,109170,50330
11-1030,25-1000,0.0007347106313346073,0.00015843481406523094,Postsecondary Teachers,Legislators,2586261.7751236465,11993285.9,1517100,85190,50330
11-1030,25-3000,0.00047468919609301887,0.00017013717199461433,Other Teachers and Instructors,Legislators,2586261.7751236465,7215768.95,1203570,40250,50330
11-1030,25-9010,7.617222559060405e-06,0.0003862676942377852,Audio-Visual and Multimedia Collections Specialists,Legislators,2586261.7751236465,51001.24041173402,9540,52270,50330
11-1030,25-9020,6.403577036023529e-06,0.0003862676942377852,Farm and Home Management Advisors,Legislators,2586261.7751236465,42875.25661447662,8020,52700,50330
11-1030,25-9030,0.0001308661192274635,0.0003862676942377853,Instructional Coordinators,Legislators,2586261.7751236465,876216.2791911126,163900,67490,50330
11-1030,25-9040,7.270058926441486e-05,2.300357698833404e-05,Teacher Assistants,Legislators,2586261.7751236465,8173631.22,1331560,28750,50330
11-1030,25-9090,8.510689230296114e-05,0.0003862676942377853,"Miscellaneous Education, Training, and Library Workers",Legislators,2586261.7751236465,569834.6137826765,106590,46680,50330
11-1030,27-3043,0.00010792155078124529,0.00015285015174981413,Writers and Authors,Legislators,2586261.7751236465,1826058.91,45210,73090,50330
11-1030,33-9030,0.0003651211868209142,0.00012621554993562693,Security Guards and Gaming Surveillance Officers,Legislators,2586261.7751236465,7481637.32,1124610,32090,50330
11-1030,39-1010,3.573256598083066e-05,7.610614256791688e-05,First-Line Supervisors of Gaming Workers,Legislators,2586261.7751236465,1214274.78,30330,50250,50330
11-1030,41-1010,0.001380616788046366,9.965972195776931e-05,First-Line Supervisors of Sales Workers,Legislators,2586261.7751236465,35828280.02,1429100,51930,50330
11-1030,41-2010,5.411597434672822e-05,6.133378402942166e-06,Cashiers,Legislators,2586261.7751236465,22819083.82,3657570,23270,50330
11-1030,41-2030,0.0005237271587455098,5.612468653006244e-05,Retail Salespersons,Legislators,2586261.7751236465,24133685.46,4448120,28310,50330
11-1030,41-4010,0.000443126758584938,0.00011097997977358752,"Sales Representatives, Wholesale and Manufacturing",Legislators,2586261.7751236465,10326563.4,1663160,73680,50330
